Id,Question,Answer,Key-Words,Location,Target
23,608 no.'lu Otobüs Hattı'nın kalkış saatleri nelerdir?,"608 no.'lu Otobüs Hattı'nın kalkış saatleri 7.20, 8.20, 9.20, 12.20, 14.20, 16.20, 18.20'dir.","608, kalkış",,
24,608 no.'lu Otobüs Hattı'nın Nazilli'ye varış süresi nedir?,608 no.'lu Otobüs Hattı'nın Nazilli'ye varış süresi 20 dakikadır.,"608, nazilli, varış",,
25,608 no.'lu Otobüs Hattı'nın Sultan Hisar'a varış süresi nedir?,608 no.'lu Otobüs Hattı'nın Sultan Hisar'a varış süresi 1 saat 5 dakikadır.,"608, sultan, varış",,
26,608 no.'lu Otobüs Hattı'nın Kuyucak'a varış süresi nedir?,608 no.'lu Otobüs Hattı'nın Kuyucak'a varış süresi 1 saat 20 dakikadır.,"608, kuyucak, varış",,
27,608 no.'lu Otobüs Hattı'nın Karacasu'ya varış süresi nedir?,608 no.'lu Otobüs Hattı'nın Karacasu'ya varış süresi 1 saat 20 dakikadır.,"608, karacasu, varış",,
28,608 no.'lu Otobüs Hattı'nın fiyatlandırması nedir?,"608 no.'lu Otobüs Hattı'nın fiyatlandırması öğrenciler için 2.80 TL ile 3.50 TL arasında, öğrenci olmayanlarda 3.20 TL ile 3.90 TL arasında değişmektedir.","608, fiyat",,
29,605 no.'lu otobüs ücretleri nelerdir?,Otobüs ücreti 2.90 TL'dir.,"605, ücret",,
30,608 otobüsünde kaç durak vardır?,5 durak vardır.,"608, kaç, durak",,
31,606 otobüsünde durakların adı nedir?,"Kuşadası, Söke, İncirliova, Koçarlı, Karpuzlu.","606, durak, ad",,
32,607 otobüsünün 3. seferi Köşk durağından saat kaçta kalkıyor?,Saat 11 de kalkıyor.,"607, 3, sefer",,
33,Otobüslerde kaç sefer vardır?,Otobüslerde 7 sefer vardır.,"otobüs, sefer",,
34,Kuşadası Karpuzlu yolculuğu kaç saat sürer?,2 saat 40 dk. yolculuk sürer.,"kuşadası, karpuzlu, süre",,
35,Yeni Pazar Sultan Hisar durakları arası öğrenci ücreti ne kadar?,Öğrenci ücreti 3 TL.,"yeni, pazar, sultan, hisar, durak, öğrenci",,
36,605 numaralı otobüs hangi duraklara gitmektedir?,"605 numaralı otobüsümüz sırasıyla Adü, Forum Aydın, Zafer Meydanı, Tren Garı, Otogar duraklarına gitmektedir.","605, hangi, durak",,
37,606 numaralı otobüs hangi duraklara gitmektedir?,"606 numaralı otobüsümüz sırasıyla Karpuzlu, Koçarlı, İncirliova, Söke, Kuşadası duraklarına gitmektedir.","606, hangi, durak",,
38,607 numaralı otobüs hangi duraklara gitmektedir?,"607 numaralı otobüsümüz sırasıyla Köşk, Germencik, Efeler, Bozdoğan, Çine duraklarına gitmektedir.","607, hangi, durak",,
39,608 numaralı otobüs hangi duraklara gitmektedir?,"608 numaralı otobüsümüz sırasıyla Yeni Pazar, Nazilli, Sultan Hisar, Kuyucak, Karacasu duraklarına gitmektedir.","608, hangi, durak",,
40,"Adü'ye gitmek istiyorum, hangi numaralı otobüse binmeliyim?",ADÜ'ye 605 numaralı otobüs ile gidilmektedir.,"adü, numara, otobüs",,
41,"Forum Aydın'a gitmek istiyorum, hangi numaralı otobüse binmeliyim?",Forum Aydın'a 605 numaralı otobüs ile gidilmektedir.,"forum, numara, otobüs",,
42,"Zafer Meydanı'na gitmek istiyorum, hangi numaralı otobüse binmeliyim?",Zafer Meydanı'na 605 numaralı otobüs ile gidilmektedir.,"zafer, numara, otobüs",,
43,"Tren garı'na gitmek istiyorum, hangi numaralı otobüse binmeliyim?",Tren Garına 605 numaralı otobüs ile gidilmektedir.,"tren, numara, otobüs",,
44,"Otogar'a gitmek istiyorum, hangi numaralı otobüse binmeliyim?",Otogara 605 numaralı otobüs ile gidilmektedir.,"otogar, numara, otobüs",,
45,"Karpuzlu'ya gitmek istiyorum, hangi numaralı otobüse binmeliyim?",Karpuzlu'ya 606 numaralı otobüs ile gidilmektedir.,"karpuzlu, numara, otobüs",,
46,"Koçarlı'ya gitmek istiyorum, hangi numaralı otobüse binmeliyim?",Koçarlı'ya 606 numaralı otobüs ile gidilmektedir.,"koçarlı, numara, otobüs",,
47,"İncirliova'ya gitmek istiyorum, hangi numaralı otobüse binmeliyim?",İncirliova'ya 606 numaralı otobüs ile gidilmektedir.,"incirliova, numara, otobüs",,
48,"Söke'ye gitmek istiyorum, hangi numaralı otobüse binmeliyim?",Söke'ye 606 numaralı otobüs ile gidilmektedir.,"söke, numara, otobüs",,
49,"Kuşadası'na gitmek istiyorum, hangi numaralı otobüse binmeliyim?",Kuşadası'na 606 numaralı otobüs ile gidilmektedir.,"kuşadası, numara, otobüs",,
50,"Köşk'e gitmek istiyorum, hangi numaralı otobüse binmeliyim?",Köşk'e 607 numaralı otobüs ile gidilmektedir.,"köşk, numara, otobüs",,
51,"Germencik'e gitmek istiyorum, hangi numaralı otobüse binmeliyim?",Germencik'e 607 numaralı otobüs ile gidilmektedir.,"germencik, numara, otobüs",,
52,"Efeler'e gitmek istiyorum, hangi numaralı otobüse binmeliyim?",Efeler'e 607 numaralı otobüs ile gidilmektedir.,"efeler, numara, otobüs",,
53,"Bozdoğan'a gitmek istiyorum, hangi numaralı otobüse binmeliyim?",Bozdoğan'a 607 numaralı otobüs ile gidilmektedir.,"bozdoğan, numara, otobüs",,
54,"Çine'ye gitmek istiyorum, hangi numaralı otobüse binmeliyim?",Çine'ye 607 numaralı otobüs ile gidilmektedir.,"çine, numara, otobüs",,
55,"Yeni Pazar'a gitmek istiyorum, hangi numaralı otobüse binmeliyim?",Yeni Pazar'a 608 numaralı otobüs ile gidilmektedir.,"yeni, pazar, numara, otobüs",,
56,"Nazilli'ye gitmek istiyorum, hangi numaralı otobüse binmeliyim?",Nazilli'ye 608 numaralı otobüs ile gidilmektedir.,"nazilli, numara, otobüs",,
57,"Sultan Hisar'a gitmek istiyorum, hangi numaralı otobüse binmeliyim?",Sultan Hisar'a 608 numaralı otobüs ile gidilmektedir.,"sultan, hisar, numara, otobüs",,
58,"Kuyucak'a gitmek istiyorum, hangi numaralı otobüse binmeliyim?",Kuyucak'a 608 numaralı otobüs ile gidilmektedir.,"kuyucak, numara, otobüs",,
59,"Karacasu'ya gitmek istiyorum, hangi numaralı otobüse binmeliyim?",Karacasu'ya 608 numaralı otobüs ile gidilmektedir.,"karacasu, numara, otobüs",,
60,Adü'den Otogar'a giden birinci sefer saat kaçta?,Adü'den Otogar'a giden birinci seferimiz saat 06.15'te kalkmaktadır.,"adü, otogar, birinci, sefer",adü,otogar
61,Adü'den Otogar'a giden ikinci sefer saat kaçta?,Adü'den Otogar'a giden ikinci seferimiz saat 09.00'da kalkmaktadır.,"adü, otogar, ikinci, sefer",adü,otogar
62,Adü'den Otogar'a giden üçüncü sefer saat kaçta?,Adü'den Otogar'a giden üçüncü seferimiz saat 09.45'te kalkmaktadır.,"adü, otogar, üçüncü, sefer",adü,otogar
63,Adü'den Otogar'a giden dördüncü sefer saat kaçta?,Adü'den Otogar'a giden dördüncü seferimiz saat 12.05'te kalkmaktadır.,"adü, otogar, dördüncü, sefer",adü,otogar
64,Adü'den Otogar'a giden beşinci sefer saat kaçta?,Adü'den Otogar'a giden beşinci seferimiz saat 14.20'de kalkmaktadır.,"adü, otogar, beşinci, sefer",adü,otogar
65,Adü'den Otogar'a giden altıncı sefer saat kaçta?,Adü'den Otogar'a giden altıncı seferimiz saat 16.50'de kalkmaktadır.,"adü, otogar, altıncı, sefer",adü,otogar
66,Adü'den Otogar'a giden yedinci sefer saat kaçta?,Adü'den Otogar'a giden yedinci seferimiz saat 18.30'da kalkmaktadır.,"adü, otogar, yedinci, sefer",adü,otogar
67,Otogar'dan Adü'ye giden birinci sefer saat kaçta?,Otogar'dan Adü'ye giden birinci seferimiz saat 06.15'te kalkmaktadır.,"otogar, adü, birinci, sefer",otogar,adü
68,Otogar'dan Adü'ye giden ikinci sefer saat kaçta?,Otogar'dan Adü'ye giden ikinci seferimiz saat 09.00'da kalkmaktadır.,"otogar, adü, ikinci, sefer",otogar,adü
69,Otogar'dan Adü'ye giden üçüncü sefer saat kaçta?,Otogar'dan Adü'ye giden üçüncü seferimiz saat 09.45'te kalkmaktadır.,"otogar, adü, üçüncü, sefer",otogar,adü
70,Otogar'dan Adü'ye giden dördüncü sefer saat kaçta?,Otogar'dan Adü'ye giden dördüncü seferimiz saat 12.05'te kalkmaktadır.,"otogar, adü, dördüncü, sefer",otogar,adü
71,Otogar'dan Adü'ye giden beşinci sefer saat kaçta?,Otogar'dan Adü'ye giden beşinci seferimiz saat 14.20'de kalkmaktadır.,"otogar, adü, beşinci, sefer",otogar,adü
72,Otogar'dan Adü'ye giden altıncı sefer saat kaçta?,Otogar'dan Adü'ye giden altıncı seferimiz saat 16.50'de kalkmaktadır.,"otogar, adü, altıncı, sefer",otogar,adü
73,Otogar'dan Adü'ye giden yedinci sefer saat kaçta?,Otogar'dan Adü'ye giden yedinci seferimiz saat 19.20'de kalkmaktadır.,"otogar, adü, yedinci, sefer",otogar,adü
74,Karpuzlu'dan Kuşadası'na giden birinci sefer saat kaçta?,Karpuzlu'dan Kuşadası'na giden birinci seferimiz saat 06.00'da kalkmaktadır.,"karpuzlu, kuşadası, birinci, sefer",karpuzlu,kuşadası
75,Karpuzlu'dan Kuşadası'na giden ikinci sefer saat kaçta?,Karpuzlu'dan Kuşadası'na giden ikinci seferimiz saat 08.45'te kalkmaktadır.,"karpuzlu, kuşadası, ikinci, sefer",karpuzlu,kuşadası
76,Karpuzlu'dan Kuşadası'na giden üçüncü sefer saat kaçta?,Karpuzlu'dan Kuşadası'na giden üçüncü seferimiz saat 09.30'da kalkmaktadır.,"karpuzlu, kuşadası, üçüncü, sefer",karpuzlu,kuşadası
77,Karpuzlu'dan Kuşadası'na giden dördüncü sefer saat kaçta?,Karpuzlu'dan Kuşadası'na giden dördüncü seferimiz saat 11.50'de kalkmaktadır.,"karpuzlu, kuşadası, dördüncü, sefer",karpuzlu,kuşadası
78,Karpuzlu'dan Kuşadası'na giden beşinci sefer saat kaçta?,Karpuzlu'dan Kuşadası'na giden beşinci seferimiz saat 14.05'te kalkmaktadır.,"karpuzlu, kuşadası, beşinci, sefer",karpuzlu,kuşadası
79,Karpuzlu'dan Kuşadası'na giden altıncı sefer saat kaçta?,Karpuzlu'dan Kuşadası'na giden altıncı seferimiz saat 16.35'te kalkmaktadır.,"karpuzlu, kuşadası, altıncı, sefer",karpuzlu,kuşadası
80,Karpuzlu'dan Kuşadası'na giden yedinci sefer saat kaçta?,Karpuzlu'dan Kuşadası'na giden yedinci seferimiz saat 18.15'te kalkmaktadır.,"karpuzlu, kuşadası, yedinci, sefer",karpuzlu,kuşadası
81,Kuşadası'ndan Karpuzlu'ya giden birinci sefer saat kaçta?,Kuşadası'ndan Karpuzlu'ya giden birinci seferimiz saat 07.00'de kalkmaktadır.,"kuşadası, karpuzlu, birinci, sefer",kuşadası,karpuzlu
82,Kuşadası'ndan Karpuzlu'ya giden ikinci sefer saat kaçta?,Kuşadası'ndan Karpuzlu'ya giden ikinci seferimiz saat 09.45'te kalkmaktadır.,"kuşadası, karpuzlu, ikinci, sefer",kuşadası,karpuzlu
83,Kuşadası'ndan Karpuzlu'ya giden üçüncü sefer saat kaçta?,Kuşadası'ndan Karpuzlu'ya giden üçüncü seferimiz saat 10.30'da kalkmaktadır.,"kuşadası, karpuzlu, üçüncü, sefer",kuşadası,karpuzlu
84,Kuşadası'ndan Karpuzlu'ya giden dördüncü sefer saat kaçta?,Kuşadası'ndan Karpuzlu'ya giden dördüncü seferimiz saat 12.50'de kalkmaktadır.,"kuşadası, karpuzlu, dördüncü, sefer",kuşadası,karpuzlu
85,Kuşadası'ndan Karpuzlu'ya giden beşinci sefer saat kaçta?,Kuşadası'ndan Karpuzlu'ya giden beşinci seferimiz saat 15.05'te kalkmaktadır.,"kuşadası, karpuzlu, beşinci, sefer",kuşadası,karpuzlu
86,Kuşadası'ndan Karpuzlu'ya giden altıncı sefer saat kaçta?,Kuşadası'ndan Karpuzlu'ya giden altıncı seferimiz saat 17.35'te kalkmaktadır.,"kuşadası, karpuzlu, altıncı, sefer",kuşadası,karpuzlu
87,Kuşadası'ndan Karpuzlu'ya giden yedinci sefer saat kaçta?,Kuşadası'ndan Karpuzlu'ya giden yedinci seferimiz saat 19.15'te kalkmaktadır.,"kuşadası, karpuzlu, yedinci, sefer",kuşadası,karpuzlu
88,Köşk'ten Çine'ye giden birinci sefer saat kaçta?,Köşk'ten Çine'ye giden birinci seferimiz saat 07.30'da kalkmaktadır.,"köşk, çine, birinci, sefer",köşk,çine
89,Köşk'ten Çine'ye giden ikinci sefer saat kaçta?,Köşk'ten Çine'ye giden ikinci seferimiz saat 10.15'te kalkmaktadır.,"köşk, çine, ikinci, sefer",köşk,çine
90,Köşk'ten Çine'ye giden üçüncü sefer saat kaçta?,Köşk'ten Çine'ye giden üçüncü sefer saat 11.00'de kalkmaktadır.,"köşk, çine, üçüncü, sefer",köşk,çine
91,Köşk'ten Çine'ye giden dördüncü sefer saat kaçta?,Köşk'ten Çine'ye giden dördüncü seferimiz saat 13.20'de kalkmaktadır.,"köşk, çine, dördüncü, sefer",köşk,çine
92,Köşk'ten Çine'ye giden beşinci sefer saat kaçta?,Köşk'ten Çine'ye giden beşinci seferimiz saat 15.35'te kalkmaktadır.,"köşk, çine, beşinci, sefer",köşk,çine
93,Köşk'ten Çine'ye giden altıncı sefer saat kaçta?,Köşk'ten Çine'ye giden altıncı seferimiz saat 8.05'te kalkmaktadır.,"köşk, çine, altıncı, sefer",köşk,çine
94,Köşk'ten Çine'ye giden yedinci sefer saat kaçta?,Köşk'ten Çine'ye giden yedinci seferimiz saat 19.45'te kalkmaktadır.,"köşk, çine, yedinci, sefer",köşk,çine
95,Çine'den Köşk'e giden birinci sefer saat kaçta?,Çine'den Köşk'e giden birinci seferimiz saat 08.30'da kalkmaktadır.,"çine, köşk, birinci, sefer",çine,köşk
96,Çine'den Köşk'e giden ikinci sefer saat kaçta?,Çine'den Köşk'e giden ikinci seferimiz saat 11.15'te kalkmaktadır.,"çine, köşk, ikinci, sefer",çine,köşk
97,Çine'den Köşk'e giden üçüncü sefer saat kaçta?,Çine'den Köşk'e giden üçüncü seferimiz saat 12.00'de kalkmaktadır.,"çine, köşk, üçüncü, sefer",çine,köşk
98,Çine'den Köşk'e giden dördüncü sefer saat kaçta?,Çine'den Köşk'e giden dördüncü seferimiz saat 14.20'de kalkmaktadır.,"çine, köşk, dördüncü, sefer",çine,köşk
99,Çine'den Köşk'e giden beşinci sefer saat kaçta?,Çine'den Köşk'e giden beşinci seferimiz saat 16.35'te kalkmaktadır.,"çine, köşk, beşinci, sefer",çine,köşk
100,Çine'den Köşk'e giden altıncı sefer saat kaçta?,Çine'den Köşk'e giden altıncı seferimiz saat 19.05'te kalkmaktadır.,"çine, köşk, altıncı, sefer",çine,köşk
101,Çine'den Köşk'e giden yedinci sefer saat kaçta?,Çine'den Köşk'e giden yedinci seferimiz saat 20.45'te kalkmaktadır.,"çine, köşk, yedinci, sefer",çine,köşk
102,Yeni Pazar'dan Karacasu'ya giden birinci sefer saat kaçta?,Yeni Pazar'dan Karacasu'ya giden birinci seferimiz saat 07.20'de kalkmaktadır.,"yeni, pazar, karacasu, birinci, sefer",pazar,karacasu
103,Yeni Pazar'dan Karacasu'ya giden ikinci sefer saat kaçta?,Yeni Pazar'dan Karacasu'ya giden ikinci seferimiz saat 08.20'de kalkmaktadır.,"yeni, pazar, karacasu, ikinci, sefer",pazar,karacasu
104,Yeni Pazar'dan Karacasu'ya giden üçüncü sefer saat kaçta?,Yeni Pazar'dan Karacasu'ya giden üçüncü seferimiz saat 09.20'de kalkmaktadır.,"yeni, pazar, karacasu, üçüncü, sefer",pazar,karacasu
105,Yeni Pazar'dan Karacasu'ya giden dördüncü sefer saat kaçta?,Yeni Pazar'dan Karacasu'ya giden dördüncü seferimiz saat 12.20'de kalkmaktadır.,"yeni, pazar, karacasu, dördüncü, sefer",pazar,karacasu
106,Yeni Pazar'dan Karacasu'ya giden beşinci sefer saat kaçta?,Yeni Pazar'dan Karacasu'ya giden beşinci seferimiz saat 14.20'de kalkmaktadır.,"yeni, pazar, karacasu, beşinci, sefer",pazar,karacasu
107,Yeni Pazar'dan Karacasu'ya giden altıncı sefer saat kaçta?,Yeni Pazar'dan Karacasu'ya giden altıncı seferimiz saat 16.20'de kalkmaktadır.,"yeni, pazar, karacasu, altıncı, sefer",pazar,karacasu
108,Yeni Pazar'dan Karacasu'ya giden yedinci sefer saat kaçta?,Yeni Pazar'dan Karacasu'ya giden yedinci seferimiz saat 18.20'de kalkmaktadır.,"yeni, pazar, karacasu, yedinci, sefer",pazar,karacasu
109,Karacasu'dan Yeni Pazar'a giden birinci sefer saat kaçta?,Karacasu'dan Yeni Pazar'a giden birinci seferimiz saat 07.20'de kalkmaktadır.,"karacasu, yeni, pazar, birinci, sefer",karacasu,pazar
110,Karacasu'dan Yeni Pazar'a giden ikinci sefer saat kaçta?,Karacasu'dan Yeni Pazar'a giden ikinci seferimiz saat 08.20'de kalkmaktadır.,"karacasu, yeni, pazar, ikinci, sefer",karacasu,pazar
111,Karacasu'dan Yeni Pazar'a giden üçüncü sefer saat kaçta?,Karacasu'dan Yeni Pazar'a giden üçüncü seferimiz saat 09.20'de kalkmaktadır.,"karacasu, yeni, pazar, üçüncü, sefer",karacasu,pazar
112,Karacasu'dan Yeni Pazar'a giden dördüncü sefer saat kaçta?,Karacasu'dan Yeni Pazar'a giden dördüncü seferimiz saat 12.20'de kalkmaktadır.,"karacasu, yeni, pazar, dördüncü, sefer",karacasu,pazar
113,Karacasu'dan Yeni Pazar'a giden beşinci sefer saat kaçta?,Karacasu'dan Yeni Pazar'a giden beşinci seferimiz saat 14.20'de kalkmaktadır.,"karacasu, yeni, pazar, beşinci, sefer",karacasu,pazar
114,Karacasu'dan Yeni Pazar'a giden altıncı sefer saat kaçta?,Karacasu'dan Yeni Pazar'a giden altıncı seferimiz saat 16.20'de kalkmaktadır.,"karacasu, yeni, pazar, altıncı, sefer",karacasu,pazar
115,Karacasu'dan Yeni Pazar'a giden yedinci sefer saat kaçta?,Karacasu'dan Yeni Pazar'a giden yedinci seferimiz saat 18.20'de kalkmaktadır.,"karacasu, yeni, pazar, yedinci, sefer",karacasu,pazar
116,Karpuzlu'dan Koçarlı'ya öğrenci ne kadar?,Karpuzlu'dan Koçarlı'ya öğrenci ücreti 2.80 TL'dir.,"karpuzlu, koçarlı, öğrenci",karpuzlu,koçarlı
117,Karpuzlu'dan İncirliova'ya öğrenci ne kadar?,Karpuzlu'dan İncirliova'ya öğrenci ücreti 3.10 TL'dir.,"karpuzlu, incirliova, öğrenci",karpuzlu,incirliova
118,Karpuzlu'dan Söke'ye öğrenci ne kadar?,Karpuzlu'dan Söke'ye öğrenci ücreti 3.40 TL'dir.,"karpuzlu, söke, öğrenci",karpuzlu,söke
119,Karpuzlu'dan Kuşadası'na öğrenci ne kadar?,Karpuzlu'dan Kuşadası'na öğrenci ücreti 4.40 TL'dir.,"karpuzlu, kuşadası, öğrenci",karpuzlu,kuşadası
120,Karpuzlu'dan Koçarlı'ya tam ne kadar?,Karpuzlu'dan Koçarlı'ya tam yolcu ücreti 3.20 TL'dir.,"karpuzlu, koçarlı, tam",karpuzlu,koçarlı
121,Karpuzlu'dan İncirliova'ya tam ne kadar?,Karpuzlu'dan İncirliova'ya tam yolcu ücreti 3.50 TL'dir.,"karpuzlu, incirliova, tam",karpuzlu,incirliova
122,Karpuzlu'dan Söke'ye tam ne kadar?,Karpuzlu'dan Söke'ye tam yolcu ücreti 3.80 TL'dir.,"karpuzlu, söke, tam",karpuzlu,söke
123,Karpuzlu'dan Kuşadası'na tam ne kadar?,Karpuzlu'dan Kuşadası'na tam yolcu ücreti 4.80 TL'dir.,"karpuzlu, kuşadası, tam",karpuzlu,kuşadası
124,Koçarlı'dan İncirliova'ya öğrenci ne kadar?,Koçarlı'dan İncirliova'ya öğrenci ücreti 2.60 TL'dir.,"koçarlı, incirliova, öğrenci",koçarlı,incirliova
125,Koçarlı'dan Söke'ye öğrenci ne kadar?,Koçarlı'dan Söke'ye öğrenci ücreti 2.90 TL'dir.,"koçarlı, söke, öğrenci",koçarlı,söke
126,Koçarlı'dan Kuşadası'na öğrenci ne kadar?,Koçarlı'dan Kuşadası'na öğrenci ücreti 4.00 TL'dir.,"koçarlı, kuşadası, öğrenci",koçarlı,kuşadası
127,Koçarlı'dan İncirliova'ya tam ne kadar?,Koçarlı'dan İncirliova'ya tam yolcu ücreti 3.00 TL'dir.,"koçarlı, incirliova, tam",koçarlı,incirliova
128,Koçarlı'dan Söke'ye tam ne kadar?,Koçarlı'dan Söke'ye tam yolcu ücreti 3.30 TL'dir.,"koçarlı, söke, tam",koçarlı,söke
129,Koçarlı'dan Kuşadası'na tam ne kadar?,Koçarlı'dan Kuşadası'na tam yolcu ücreti 4.40 TL'dir.,"koçarlı, kuşadası, tam",koçarlı,kuşadası
130,İncirliova'dan Söke'ye öğrenci ne kadar?,İncirliova'dan Söke'ye öğrenci ücreti 2.50 TL'dir.,"incirliova, söke, öğrenci",incirliova,söke
131,İncirliova'dan Kuşadası'na öğrenci ne kadar?,İncirliova'dan Kuşadası'na öğrenci ücreti 2.70 TL'dir.,"incirliova, kuşadası, öğrenci",incirliova,kuşadası
132,İncirliova'dan Söke'ye tam ne kadar?,İncirliova'dan Söke'ye tam yolcu ücreti 2.90 TL'dir.,"incirliova, söke, tam",incirliova,söke
133,İncirliova'dan Kuşadası'na tam ne kadar?,İncirliova'dan Kuşadası'na tam yolcu ücreti 3.10 TL'dir.,"incirliova, kuşadası, tam",incirliova,kuşadası
134,Söke'den Kuşadası'na öğrenci ne kadar?,Söke'den Kuşadası'na öğrenci ücreti 3.50 TL'dir,"söke, kuşadası, öğrenci",söke,kuşadası
135,Söke'den Kuşadası'na tam ne kadar?,Söke'den Kuşadası'na tam yolcu ücreti 3.90 TL'dir.,"söke, kuşadası, tam",söke,kuşadası
136,Köşk'ten Germencik'e öğrenci ne kadar?,Köşk'ten Germencik'e öğrenci ücreti 2.60 TL'dir.,"köşk, germencik, öğrenci",köşk,germencik
137,Köşk'ten Efelere öğrenci ne kadar?,Köşk'ten Efeler'e öğrenci ücreti 3.00 TL'dir.,"köşk, efeler, öğrenci",köşk,efeler
138,Köşk'ten Bozdoğan'a öğrenci ne kadar?,Köşk'ten Bozdoğan'a öğrenci ücreti 3.30 TL'dir.,"köşk, bozdoğan, öğrenci",köşk,bozdoğan
139,Köşk'ten Çine'ye öğrenci ne kadar?,Köşk'ten Çine'ye öğrenci ücreti 3.50 TL'dir.,"köşk, çine, öğrenci",köşk,çine
140,Köşk'ten Germencik'e tam ne kadar?,Köşk'ten Germencik'e tam yolcu ücreti 3.00 TL'dir.,"köşk, germencik, tam",köşk,germencik
141,Köşk'ten Efeler'e tam ne kadar?,Köşk'ten Efeler'e tam yolcu ücreti 3.40 TL'dir.,"köşk, efeler, tam",köşk,efeler
142,Köşk'ten Bozdoğan'a tam ne kadar?,Köşk'ten Bozdoğan'a tam yolcu ücreti 3.70 TL'dir.,"köşk, bozdoğan, tam",köşk,bozdoğan
